field,n_reported,n_partial,n_missing,pct_missing
random_seed,1,1,31,93.9
code_artifacts,0,3,30,90.9
protein_chain,5,10,18,54.5
protonation_tautomer,0,17,16,48.5
validation_redocking,10,10,13,39.4
software_version,17,4,12,36.4
grid_size,12,11,10,30.3
search_effort,13,10,10,30.3
water_ion_handling,14,9,10,30.3
grid_center,14,13,6,18.2
ligand_identifier,9,20,4,12.1
receptor_preparation,25,7,1,3.0
ligand_preparation,24,8,1,3.0
pdb_receptor,31,2,0,0.0
docking_software,33,0,0,0.0
numeric_result,33,0,0,0.0
