paper_id,cx,cy,cz,sx,sy,sz,size_capped,center_found,size_found
P0001,,,,20.0,20.0,20.0,False,False,True
P0002,-10.0,12.5,68.0,,,,False,True,False
P0005,-14.799,-25.606,0.936,40.0,40.0,40.0,True,True,True
P0006,-10.807,12.541,68.917,30.0,30.0,30.0,False,True,True
P0008,,,,40.0,40.0,40.0,True,False,True
P0009,,,,,,,False,False,False
P0012,12.355,14.273,71.259,,,,False,True,False
P0014,-11.993,15.425,65.951,,,,False,True,False
P0015,,,,,,,False,False,False
P0016,,,,,,,False,False,False
P0017,-10.7292,12.4176,68.8161,,,,False,True,False
P0018,,,,,,,False,False,False
P0019,,,,40.0,40.0,40.0,True,False,True
P0022,,,,,,,False,False,False
P0023,-13.3666524277,16.149565908,68.3163713762,,,,False,True,False
P0025,,,,40.0,40.0,40.0,True,False,True
P0026,,,,40.0,40.0,40.0,True,False,True
P0028,,,,,,,False,False,False
P0029,,,,,,,False,False,False
P0030,,,,,,,False,False,False
P0032,,,,,,,False,False,False
P0034,,,,40.0,40.0,40.0,True,False,True
P0035,,,,,,,False,False,False
P0036,,,,,,,False,False,False
P0037,,,,,,,False,False,False
P0039,-11.5693,14.9663,67.9041,34.6857,40.0,40.0,True,True,True
P0041,-20.0,19.0,-26.0,,,,False,True,False
P0045,,,,40.0,40.0,40.0,True,False,True
P0047,-10.0,13.0,70.0,40.0,40.0,40.0,True,True,True
P0048,,,,40.0,40.0,40.0,True,False,True
P0051,,,,,,,False,False,False
P0053,-24.839,13.571,58.159,40.0,40.0,40.0,True,True,True
P0054,,,,,,,False,False,False
